Nome,Classe,Tipo de Ativo,Bolsa Fonte,Ativo Cancelado,CNPJ,Número de emissão,Serie,Codigo,Setor NAICS ult disponiv,Agente Fiduciário,Líder,Banco Mandatário,Incentivada Lei 12.431,Volume,Data de emissão,Vencimento/Repactuação,Referência NTN-B,Remuneração,Amortização,Espécie,Tipo de Debênture,Índice de correção,Data da Últ Cotação,Taxa (YTM) [%],Máximo da Taxa (YTM) 12 meses [%],Data do Máximo Taxa (YTM) 12 meses,Taxa Atual vs Máx 12m [%],PU [R$],Máximo do PU 12 meses [R$],Data do Máximo PU 12 meses,PU Atual vs Máx 12m [%],Duration [dias úteis],Taxa de Compra [%],Taxa de Venda [%],Retorno 1 dia [%],Prêmio vs CDI 1 dia [% do CDI],Retorno 6 meses [%],Prêmio vs CDI 6 meses [% do CDI],Retorno 12 meses [%],Prêmio vs CDI 12 meses [% do CDI],Retorno no Ano [%],Prêmio vs CDI no Ano [% do CDI],Retorno do Início [%],Prêmio vs CDI do Início [% do CDI],Volatilidade 12 meses [%],Sharpe 12 meses,Máx Retorno Mensal (últ. 12 meses) [%],Máx Prêmio Mensal (últ. 12 meses) [% do CDI],Mín Retorno Mensal (últ. 12 meses) [%],Mín Prêmio Mensal (últ. 12 meses) [% do CDI],Meses Positivos (últ. 12 meses) [unidades],Meses acima do CDI (últ. 12 meses) [unidades],Dias Positivos (últ. 12 meses) [%],Dias acima do CDI (últ. 12 meses) [%],Perda Máxima (últ. 12 meses) [%],Data do Pico Perda Máxima,Data do Fundo Perda Máxima,Tempo de Recuperação Perda Máxima em dias úteis,Data Recuperação Perda Máxima
Cosern,Emis 07/Ser 02,Título privado de renda fixa,Anbima,ativo,08324196000181,7,02,CSRN27,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,BB Banco de Investimento SA,Banco Bradesco SA,Sim,98562000.00,15/10/2017,15/10/2024,15/08/2024,Pagamento anual. primeiro em 15-out-2018 e última no vencimento,Integral na data do Vencimento,Quirografária,IPCA Spread,"IPCA + 4,9102%",21/12/2020,,5.8632,23/03/2020,,,1215.162319,18/12/2020,,,,,,,7.92,804.52,11.43,406.70,10.10,373.49,,,9.00,1.00,2.73,1886.50,-5.99,-1770.93,10,8,,,-10.04,04/03/2020,23/03/2020,81,01/07/2020
Cosern,Emis 09/Ser 01,Título privado de renda fixa,Anbima,ativo,08324196000181,9,01,CSRN19,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,Banco J Safra SA,Banco Bradesco SA,Sim,179500000.00,17/04/2019,15/04/2026,15/08/2026,Pagamento Semestral. nos dias 15-out e 15-abr. Primeiro em 15-out-2019,Integral na data do vencimento,Quirografária,IPCA Spread,"IPCA + 4,2542%",21/12/2020,,5.9447,23/03/2020,,,1080.215019,18/12/2020,,,,,,,7.69,781.27,9.26,329.62,7.60,281.01,,,11.05,0.63,3.58,2481.21,-6.46,-1907.98,9,8,,,-11.00,04/03/2020,23/03/2020,96,22/07/2020
Cosern,Emis 09/Ser 02,Título privado de renda fixa,Anbima,ativo,08324196000181,9,02,CSRN29,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,Banco J Safra SA,Banco Bradesco SA,Sim,38500000.00,17/04/2019,15/04/2029,15/08/2028,"Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.","3 parcelas em 20-Ago-2027, em 20-Ago-2028 e no vencimento.",Quirografária,IPCA Spread,"IPCA + 4,4986%",21/12/2020,,,,,,,,,,,,,,13.00,1319.99,,,,,,,,,5.23,3123.06,-10.34,-3056.80,,,,,-14.64,14/02/2020,24/04/2020,113,30/07/2020
Cosern,Emis 09/Ser 03,Título privado de renda fixa,Anbima,ativo,08324196000181,9,03,CSRN39,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,Banco J Safra SA,Banco Bradesco SA,Não,282000000.00,17/04/2019,15/04/2024,,Pagamento Semestral. nos dias 15-out e 15-abr. Primeiro em 15-out-2019,"Pagamento anual, nos dias 15-abr. Primeiro em 15-abr-2027 e última no vencimento",Quirografária,DI Percentual,"107,25% do DI",21/12/2020,,151.0867,08/09/2020,,,957.57118,04/03/2020,,,,,,,1.82,184.85,-1.11,-39.48,-1.30,-48.14,,,3.94,-0.96,2.00,1336.72,-4.23,-1249.23,6,6,,,-6.84,04/03/2020,24/04/2020,,
CPFL Geracao,Emis 11/Ser 02,Título privado de renda fixa,Anbima,ativo,03953509000147,11,02,CPGEB1,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,700000000.00,18/05/2018,18/05/2023,,Pagamento semestral. nos dias 18-mai e 18-nov. Primeiro em 18-nov-2018 e última no vencimento,2 parcelas: 50% em 18-mai-2022 e 50% em 18-mai-2023,Quirografária,DI Percentual,"107,50% do DI",21/12/2020,,165.6103,15/04/2020,,,981.684871,15/12/2020,,,,,,,3.84,389.61,2.51,89.38,2.41,89.05,,,2.42,-0.11,1.69,870.72,-4.25,-1256.51,11,7,,,-4.75,27/02/2020,03/04/2020,106,30/07/2020
CPFL Piratininga,Emis 08/Ser 01,Título privado de renda fixa,Anbima,ativo,04172213000151,8,01,CPFP18,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Banco Bradesco SA,Sim,60000000.00,15/02/2017,15/02/2024,15/05/2023,Pagamento Semestral. em 15-Ago e 15-Fev. Primeiro em 15-Ago-2017,2 parcelas iguais. Em 15-Fev-2023 e no vencimento,Quirografária,IPCA Spread,"IPCA + 5,2901%",21/12/2020,,5.0514,23/03/2020,,,1248.285204,21/12/2020,,,,,,,6.30,640.32,7.33,260.97,6.47,239.28,,,6.56,0.71,2.48,1366.24,-5.23,-1544.31,10,10,,,-7.85,04/03/2020,23/03/2020,83,03/07/2020
CPFL Piratininga,Emis 08/Ser 02,Título privado de renda fixa,Anbima,ativo,04172213000151,8,02,CPFP28,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Banco Bradesco SA,Não,246000000.00,15/02/2017,15/02/2022,,Pagamento Semestral. nos dias 15-Ago e 15-Fev. Primeiro em 15-Ago-2017,2 parcelas iguais em 15-Fev-2021 e no vencimento,Quirografária,DI Percentual,"109,5% do DI",21/12/2020,,172.5838,10/06/2020,,,1000.980089,21/12/2020,,,,,,,2.42,246.28,3.19,113.41,2.97,110.01,,,1.33,0.29,0.67,346.14,-1.47,-433.26,11,11,,,-1.75,17/03/2020,26/03/2020,83,16/07/2020
CPFL Piratininga,Emis 10/Ser uni,Título privado de renda fixa,Anbima,ativo,04172213000151,10,uni,CPFPA0,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Banco Bradesco SA,Sim,197000000.00,04/09/2018,15/08/2025,15/05/2025,Pagamento Semestral. nos dias 15-fev e 15-ago. Primeiro em 15-fev-2019,2 Parcelas: 50% em 15-ago-2024 e 50% em 15-ago-2025,Quirografária,IPCA Spread,"IPCA + 5,80%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,2.57,2290.41,-0.76,-484.80,,,,,-2.03,04/09/2020,29/09/2020,48,16/11/2020
CPFL Renovav,Emis 07/Ser uni,Título privado de renda fixa,Anbima,ativo,08439659000150,7,Uni,ERSA17,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco J Safra SA,Itau Unibanco SA,Sim,250000000.00,15/07/2017,15/07/2022,15/08/2022,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2018 e última no vencimento",Integral na data do Vencimento,Quirografária,IPCA Spread,"IPCA + 5,6227",21/12/2020,,5.0701,23/03/2020,,,1241.945958,21/12/2020,,,,,,,7.08,719.28,9.84,350.09,9.07,335.58,,,4.80,1.47,1.61,1167.49,-2.74,-808.82,11,11,,,-5.42,04/03/2020,23/03/2020,79,29/06/2020
CPFL Renovav,Emis 09/Ser 01,Título privado de renda fixa,Anbima,ativo,08439659000150,9,01,CPRE19,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,300000000.00,15/05/2019,15/05/2022,,"Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2019 e última no vencimento",Integral na data do vencimento,Quirografária,DI Percentual,"104,75% do DI",21/12/2020,,,,,,,,,,,,,,1.77,179.29,,,,,,,,,0.55,307.49,0.03,22.22,,,,,-0.21,24/09/2020,02/10/2020,17,20/10/2020
CPFL Renovav,Emis 09/Ser 02,Título privado de renda fixa,Anbima,ativo,08439659000150,9,02,CPRE29,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,538000000.00,15/05/2019,15/11/2023,,Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019,"3 parcelas : 33,33% em 15-nov-2022, 50% em 15-mai-2023 e 16,67% no vencimento.",Quirografária,DI Percentual,106% do DI,21/12/2020,,155.3442,20/08/2020,,,9706.88209,04/03/2020,,,,,,,3.76,382.35,0.45,15.90,0.31,11.35,,,4.70,-0.47,1.35,860.39,-4.45,-1313.84,8,6,,,-6.10,04/03/2020,27/04/2020,,
Cutia Empreendimentos Eólicos SA,Emis 01/Ser uni,Título privado de renda fixa,Anbima,ativo,10979076000164,1,uni,CUTI11,Administração de empresas e empreendimentos,Pentagono SA Dtvm,Banco Abc Brasil SA,Banco Bradesco SA,Sim,360000000.00,20/03/2019,15/12/2031,15/08/2026,"Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Jun-2019 e último no vencimento.",26 parcelas semestrais. Primeira em 15-Jun-2019 e última no vencimento.,Garantia Real,IPCA Spread,"IPCA + 5,8813%",21/12/2020,,6.2996,24/03/2020,,,1073.472865,21/12/2020,,,,,,,12.36,1255.57,11.31,402.68,9.99,369.43,,,11.68,0.78,4.26,3150.93,-8.66,-2558.02,9,9,,,-11.64,04/03/2020,24/03/2020,107,06/08/2020
Cvc Brasil,Emis 04/Ser 01,Título privado de renda fixa,Anbima,ativo,10760260000119,4,01,CVCB14,Transporte turístico,Vortx DTVM Ltda,Banco Santander Brasil SA,Vortx DTVM Ltda,Não,458700000.00,18/04/2019,18/04/2023,,"Pagamento semestral, nos dias 18-Abr e 18-Out. Primeiro em 18-Out-2019 e último no vencimento.",Integral na data do vencimento.,Quirografária,DI Percentual,"DI + 4,00%",21/12/2020,,391.1678,15/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvc Brasil,Emis 04/Ser 02,Título privado de renda fixa,Anbima,ativo,10760260000119,4,02,CVCB24,Transporte turístico,Vortx DTVM Ltda,Banco Santander Brasil SA,Vortx DTVM Ltda,Não,250000000.00,18/04/2019,18/04/2025,,"Pagamento semestral, nos dias 18-Abr e 18-Out. Primeiro em 18-Out-2019 e último no vencimento.",2 parcelas iguais em 18-Abr-2024 e no vencimento.,Quirografária,DI Percentual,"DI + 4,50%",21/12/2020,,292.353,10/07/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyre Com-Ccp,Emis 11/Ser 01,Título privado de renda fixa,Anbima,ativo,08801621000186,11,01,CCPRA1,Locadora de imóveis,Vortx DTVM Ltda,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,100000000.00,15/05/2019,15/05/2022,,Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019,Integral na data do vencimento,Quirografária,DI Spread,"DI + 0,70%",21/12/2020,,4.3279,10/06/2020,,,9873.028524,21/12/2020,,,,,,,3.94,399.93,2.37,84.30,2.25,83.22,,,2.81,-0.14,3.61,1697.99,-4.21,-1477.94,10,8,,,-5.49,23/03/2020,24/04/2020,116,08/09/2020
Cyre Com-Ccp,Emis 11/Ser 02,Título privado de renda fixa,Anbima,ativo,08801621000186,11,02,CCPRB1,Locadora de imóveis,Vortx DTVM Ltda,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,200000000.00,15/05/2019,15/05/2024,,Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019,2 Parcelas: 50% em 15-mai-2023 e 50% em 15-mai-2024,Quirografária,DI Spread,"DI+1,40%",21/12/2020,,4.1493,13/04/2020,,,9909.157606,21/12/2020,,,,,,,4.87,494.96,2.06,73.39,1.91,70.76,,,3.57,-0.19,3.92,1375.24,-7.74,-2288.50,10,9,,,-8.68,06/03/2020,13/04/2020,135,18/09/2020
Dasa,Emis 08/Ser uni,Título privado de renda fixa,Anbima,ativo,61486650000183,8,Uni,DASA18,Laboratório de exames médicos,Pentagono SA Dtvm,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,400000000.00,25/08/2017,25/08/2022,,"Pagamento semestral, nos dias 25-fev e 25-ago. Primeiro em 25-fev-2018 e última no vencimento","3 parcelas: 33,33% em 25-ago-2020, 33,33% em 25-ago-2021 e 33,34% no vencimento",Quirografária,DI Percentual,108% do DI,21/12/2020,,198.3557,06/07/2020,,,6576.557001,21/12/2020,,,,,,,3.33,338.74,2.66,94.85,2.49,92.03,,,1.61,-0.08,0.83,510.21,-1.05,-446.18,10,8,,,-1.96,17/03/2020,22/05/2020,110,24/08/2020
Dasa,Emis 09/Ser uni,Título privado de renda fixa,Anbima,ativo,61486650000183,9,uni,DASA19,Laboratório de exames médicos,Pentagono SA Dtvm,BB Banco de Investimento SA,Banco Bradesco SA,Não,600000000.00,26/03/2018,26/03/2023,,Pagamento semestral. nos dias 26-set e 26-mar. Primeiro em 26-set-2018 e última no vencimento,2 parcelas: 50% em 26-mar-2022 e 50% no vencimento,Quirografária,DI Percentual,"108,6% do DI",21/12/2020,,162.6386,23/09/2020,,,9823.559675,15/12/2020,,,,,,,3.16,321.24,2.03,72.18,1.85,68.32,,,2.40,-0.31,1.03,494.36,-3.44,-1017.27,10,7,,,-4.28,04/03/2020,27/04/2020,158,20/10/2020
Dasa,Emis 10/Ser 01,Título privado de renda fixa,Anbima,ativo,61486650000183,10,01,DASAA0,Laboratório de exames médicos,Planner Trustee DTVM Ltda,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,100000000.00,10/12/2018,10/12/2023,,Pagamento Semestral. nos dias 10-jun e 10-dez. Primeiro em 10-jun-2019,2 Parcelas: 50% em 10-dez-2022 e 50% em 10-dez-2023,Quirografária,DI Percentual,"107,40% do DI",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,0.84,747.32,-0.21,-130.12,,,,,-0.63,04/09/2020,02/10/2020,33,23/10/2020
Dasa,Emis 10/Ser 02,Título privado de renda fixa,Anbima,ativo,61486650000183,10,02,DASAB0,Laboratório de exames médicos,Planner Trustee DTVM Ltda,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,300000000.00,10/12/2018,10/12/2024,,Pagamento semestral. nos dia 10-jun e 10-dez. Primeiro em 10-jun-2019 e última no vencimento,Integral na data do vencimento,Quirografária,DI Percentual,"110,50 % do DI",21/12/2020,,171.5503,14/04/2020,,,9557.190173,15/12/2020,,,,,,,6.32,641.70,1.77,62.90,1.55,57.39,,,5.10,-0.18,2.63,1114.57,-10.24,-3024.84,11,9,,,-12.07,03/03/2020,03/04/2020,196,11/12/2020
Dasa,Emis 10/Ser 03,Título privado de renda fixa,Anbima,ativo,61486650000183,10,03,DASAC0,Laboratório de exames médicos,Planner Trustee DTVM Ltda,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,400000000.00,10/12/2018,10/12/2026,,Pagamento semestral. nos dias 10-dez e10-jun. Primeiro em 10-dez-2025 e última no vencimento,2 parcelas em 10-dez-2025 e no vencimento,Quirografária,DI Percentual,"112,5% do DI",21/12/2020,,170.2891,13/04/2020,,,9454.111023,20/02/2020,,,,,,,7.19,730.26,0.83,29.43,0.49,18.02,,,6.72,-0.26,6.09,2139.14,-11.74,-3470.57,10,9,,,-14.56,20/02/2020,13/04/2020,,
Dasa,Emis 11/Ser uni,Título privado de renda fixa,Anbima,ativo,61486650000183,11,uni,DASAA1,Laboratório de exames médicos,Planner Trustee DTVM Ltda,Banco BTG Pactual SA,Banco Bradesco SA,Não,400000000.00,10/06/2019,10/06/2026,,Pagamento Semestral. nos dias 10-jun e 10-dez. Primeiro em 10-dez-2019,2 Parcelas: 50% em 10-jun-2025 e 50% em 10-jun-2026,Quirografária,DI Percentual,"108,50% do DI",21/12/2020,,170.1122,08/04/2020,,,9388.182004,15/12/2020,,,,,,,6.70,680.32,0.90,32.03,0.69,25.49,,,6.04,-0.28,5.93,2082.05,-12.51,-3696.81,11,10,,,-14.19,04/03/2020,03/04/2020,195,11/12/2020
Dasa,Emis 12/Ser uni,Título privado de renda fixa,Anbima,ativo,61486650000183,12,uni,DASAA2,Laboratório de exames médicos,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,500000000.00,25/11/2019,25/11/2024,,Pagamento semestrel. nos dias 25-mai e 25-nov. Primeiro em 25-mai-2020,Pagamento anual. no dia 25-nov. Primeiro em 25-nov-2023,Quirografária,DI Spread,"DI + 1,20%",21/12/2020,,,,,,,,,,,,,,4.75,482.51,,,,,,,,,1.42,815.34,0.17,116.44,,,,,-0.24,03/11/2020,06/11/2020,7,12/11/2020
Dasa,Emis 13/Ser uni,Título privado de renda fixa,Anbima,ativo,61486650000183,13,uni,DASAA3,Laboratório de exames médicos,Pentagono SA Dtvm,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,365000000.00,13/04/2020,13/04/2023,,Pagamento Semestral. Nos dia 13-out e 13-abr. Primeiro em 13-out-2020,Pagamento Semestral. Nos dia 13-out e 13-abr. Primeiro em 13-abr-2022,Quirografária,DI Spread,"DI + 1,95%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,0.37,264.07,0.29,181.65,,,,,-0.07,11/09/2020,14/09/2020,4,17/09/2020
Ecopistas - Concess Das Rodov Ayrton Senna S/A,Emis 01/Ser 01,Título privado de renda fixa,Anbima,ativo,10841050000155,1,1,ECPT11,Atividades auxiliares ao transporte rodoviário,Planner Trustee DTVM Ltda,Itau Unibanco SA,Itau Unibanco SA,Não,92500000.00,15/01/2011,15/01/2023,15/08/2022,Pagamento anual. primeiro em 15-jan-2013.,10 parcelas : primeiro em 15-jan-2013 e última no vencimento.,Garantia Real,IPCA Spread,"IPCA + 8,25%",21/12/2020,,4.4275,30/04/2020,,,1016.842351,02/12/2020,,,,,,,5.16,524.60,6.75,240.16,6.45,238.50,,,4.59,0.87,2.18,1214.64,-2.94,-1639.88,9,8,,,-3.70,04/03/2020,27/03/2020,73,19/06/2020
Ecopistas - Concess Das Rodov Ayrton Senna S/A,Emis 01/Ser 02,Título privado de renda fixa,Anbima,ativo,10841050000155,1,2,ECPT21,Atividades auxiliares ao transporte rodoviário,Planner Trustee DTVM Ltda,Itau Unibanco SA,Itau Unibanco SA,Não,92500000.00,15/01/2011,15/04/2022,15/08/2022,Pagamento anual. primeiro em 15-abr-2012,10 parcelas. primeiro em 15-abr-2012 e última no vencimento.,Garantia Real,IPCA Spread,"IPCA + 8,25%",21/12/2020,,4.4275,30/04/2020,,,646.168186,02/12/2020,,,,,,,4.93,500.75,7.44,264.77,7.11,262.98,,,3.07,1.50,1.77,1009.94,-1.40,-978.60,9,8,,,-2.23,02/12/2020,04/12/2020,,
Ecopistas - Concess Das Rodov Ayrton Senna S/A,Emis 01/Ser 03,Título privado de renda fixa,Anbima,ativo,10841050000155,1,3,ECPT31,Atividades auxiliares ao transporte rodoviário,Planner Trustee DTVM Ltda,Itau Unibanco SA,Itau Unibanco SA,Não,92500000.00,15/01/2011,15/07/2022,15/08/2022,Pagamento anual. primeiro em 15-jul-2012,10 parcelas anuais. primeiro em 15-jul-2012 e última no vencimento,Garantia Real,IPCA Spread,"IPCA + 8,25%",21/12/2020,,4.4275,30/04/2020,,,649.340305,02/12/2020,,,,,,,4.61,468.10,6.08,216.30,5.78,213.61,,,3.89,0.85,1.78,1192.17,-1.91,-1573.32,9,8,,,-3.05,02/12/2020,04/12/2020,,
Ecopistas - Concess Das Rodov Ayrton Senna S/A,Emis 01/Ser 04,Título privado de renda fixa,Anbima,ativo,10841050000155,1,4,ECPT41,Atividades auxiliares ao transporte rodoviário,Planner Trustee DTVM Ltda,Itau Unibanco SA,Itau Unibanco SA,Não,92500000.00,15/01/2011,15/10/2022,15/08/2022,Pagamento anual. primeiro em 15-out-2012.,10 parcelas anuais. primeiro em 15-out-2012 e última no vencimento.,Garantia Real,IPCA Spread,"IPCA + 8,25%",21/12/2020,,4.4275,30/04/2020,,,652.47446,01/12/2020,,,,,,,4.48,454.82,5.88,209.44,5.61,207.36,,,4.82,0.66,2.06,1378.92,-2.44,-2176.98,9,8,,,-3.88,01/12/2020,04/12/2020,,
Ecorodovias Concessoes e Serv SA,Emis 02/Ser 03,Título privado de renda fixa,Anbima,ativo,08873873000110,2,3,ECCR32,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco Itau BBA SA,Banco Bradesco SA,Não,400000000.00,15/10/2012,15/10/2022,15/08/2022,"Pagamento anual, nos dias 15-Out. Primeiro em 15-Out-2013 e último no vencimento.","3 parcelas em 15-Out-2020, 15-Out-2021 e 15-Out-2022.",Quirografária,IPCA Spread,"IPCA + 5,35%",21/12/2020,,4.1446,30/04/2020,,,11000.67827,09/10/2020,,,,,,,2.73,277.16,4.68,166.66,4.28,158.40,,,4.65,0.42,2.12,997.53,-2.56,-1629.06,9,8,,,-3.63,09/10/2020,15/10/2020,,
Ecorodovias Concessoes e Serv SA,Emis 06/Ser 02,Título privado de renda fixa,Anbima,ativo,08873873000110,6,02,ERDV26,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Não,750450000.00,15/11/2017,15/11/2022,,Pagamento semestral. nos dias 15-mai e 15-nov. Primeiro em 15-mai-2021 e última no vencimento,Pagamento anual. 50% em 15-11-2021 e 50% no vencimento,Quirografária,DI Percentual,"110,25% do DI",21/12/2020,,245.4024,15/04/2020,,,980.702707,15/12/2020,,,,,,,5.77,586.34,2.49,88.61,2.32,85.89,,,4.28,-0.05,2.28,1173.64,-4.72,-1393.94,10,9,,,-8.80,04/03/2020,15/04/2020,129,08/09/2020
Ecorodovias Concessoes e Serv SA,Emis 06/Ser 03,Título privado de renda fixa,Anbima,ativo,08873873000110,6,03,ERDV36,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Não,30000000.00,15/11/2017,15/11/2024,15/08/2024,Pagamento anual. Primeiro em 15-nov-2018,Pagamento anual. Primeiro em 15-nov-2023,Quirografária,IPCA Spread,IPCA + 6%,21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,1.99,1609.24,-0.22,-137.70,,,,,-1.37,04/09/2020,02/10/2020,43,09/11/2020
Ecorodovias Concessoes e Serv SA,Emis 07/Ser uni,Título privado de renda fixa,Anbima,ativo,08873873000110,7,uni,ERDV17,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,BB Banco de Investimento SA,Banco Bradesco SA,Não,350000000.00,15/06/2018,15/06/2025,15/08/2024,Pagamento anual nos dias 15-Jun. Primeiro em 15-Jun-2019 e última no vencimento,2 Parcelas iguais 50% em 15-Jun-2024 e 50% no vencimento,Quirografária,IPCA Spread,"IPCA + 7,4438%",21/12/2020,,6.004,23/03/2020,,,1274.688373,21/12/2020,,,,,,,6.51,660.97,6.38,226.94,5.28,195.21,,,8.98,0.44,2.10,1496.14,-5.86,-1730.49,10,10,,,-10.41,04/03/2020,23/03/2020,130,09/09/2020
Ecorodovias Concessoes e Serv SA,Emis 08/Ser 01,Título privado de renda fixa,Anbima,ativo,08873873000110,8,01,ERDV18,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Não,833675000.00,15/04/2019,15/04/2024,,"Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.",Integral na data do vencimento.,Quirografária,DI Spread,"DI + 1,30%",21/12/2020,,5.4494,14/04/2020,,,982.366627,26/11/2020,,,,,,,7.08,719.05,1.89,67.34,1.78,65.76,,,5.46,-0.14,2.39,1492.15,-7.91,-2339.06,9,8,,,-12.64,09/03/2020,14/04/2020,127,09/09/2020
Ecorodovias Concessoes e Serv SA,Emis 08/Ser 03,Título privado de renda fixa,Anbima,ativo,08873873000110,8,03,ERDV38,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Não,66325000.00,15/04/2019,15/04/2026,15/05/2025,"Pagamento anual, no dia 15-Abr. Primeiro em 15-Abr-2020 e último no vencimento.",2 parcelas iguais em 15-Abr-2025 e no vencimento.,Quirografária,IPCA Spread,"IPCA + 5,5031%",21/12/2020,,6.4482,23/03/2020,,,1159.682242,21/12/2020,,,,,,,9.48,963.41,10.79,384.05,9.80,362.29,,,10.94,0.78,3.88,2198.06,-6.14,-1814.14,10,10,,,-10.49,04/03/2020,23/03/2020,99,27/07/2020
Ecorodovias Concessoes e Serv SA,Emis 10/Ser uni,Título privado de renda fixa,Anbima,ativo,08873873000110,10,uni,ERDVA0,Atividades auxiliares ao transporte rodoviário,Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Não,1000000000.00,13/07/2020,13/07/2023,,Pagamento Semestral. Nos dias 13-jan e 13-jul. Primeiro em 13-jan-2021,Integral na data do vencimento,Quirografária,DI Spread,"DI + 3,50%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,0.70,443.27,-0.22,-149.03,,,,,-0.48,25/11/2020,03/12/2020,,
Edp Transmissão Aliança Sc SA,Emis 01/Ser uni,Título privado de renda fixa,Anbima,ativo,27831352000145,1,uni,EDPA11,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,Banco Itau BBA SA,Itau Unibanco SA,Sim,1200000000.00,15/10/2018,15/10/2028,15/08/2026,Pagamento Semestral. Nos dias 15-abr e 15-out. Primeiro em 15-abr-2019,Pagamento Semestral. Nos dias 15-abr e 15-out. Primeiro em 15-abr-2023,Garantia Real,IPCA Spread,"IPCA + 6,72%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,5.82,2992.60,-1.12,-713.18,,,,,-3.06,05/08/2020,27/10/2020,83,03/12/2020
Edp Transmissão S/A,Emis 01/Ser uni,Título privado de renda fixa,Anbima,ativo,04705039000165,1,Uni,EDPT11,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco J Safra SA,Banco Citibank SA,Sim,115000000.00,15/05/2018,15/05/2033,15/08/2026,"Pagamento semestral, nos dias 15-mai e 15-Nov. Primeiro em 15-mai-2021 e última no vencimento","Pagamento semestral, nos dias 15-mai e 15-Nov. Primeiro em 15-mai-2021 e última no vencimento",Garantia Real,IPCA Spread,"IPCA + 7,0267%",21/12/2020,,6.4981,23/03/2020,,,1497.284128,18/12/2020,,,,,,,8.69,882.28,11.75,418.09,9.92,366.78,,,10.85,0.87,4.16,2477.77,-7.36,-2174.52,9,9,,,-11.90,04/03/2020,23/03/2020,83,03/07/2020
